,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
381,"Oklahoma City, OK",United States,63.42,28.1,46.79,67.05,59.47,138.82,2016
382,Olomouc,Czech Republic,39.15,11.09,25.93,35.38,27.61,85.08,2016
383,Oradea,Romania,35.67,6.15,21.77,29.4,24.03,47.22,2016
384,"Orlando, FL",United States,76.94,39.23,59.18,82.48,73.06,123.06,2016
385,Osaka,Japan,78.5,23.56,52.63,81.27,42.93,105.08,2016
386,Oshawa,Canada,77.63,28.28,54.39,82.06,65.3,81.32,2016
387,Osijek,Croatia,45.57,7.0,27.41,37.77,30.61,59.82,2016
388,Oslo,Norway,102.27,45.92,75.74,88.48,120.76,113.31,2016
389,Ostrava,Czech Republic,40.5,11.0,26.61,34.94,28.5,78.01,2016
390,Ottawa,Canada,67.78,30.36,50.16,62.92,72.53,126.53,2016
391,Oulu,Finland,73.18,22.85,49.48,60.02,82.99,127.92,2016
392,Oxford,United Kingdom,74.14,52.2,63.81,61.12,78.25,101.95,2016
393,Padova,Italy,72.54,22.24,48.86,59.31,74.26,73.55,2016
394,Palermo,Italy,65.23,15.41,41.77,59.1,60.06,66.33,2016
395,Palma De Mallorca,Spain,59.44,20.26,40.99,48.62,57.3,90.69,2016
396,Panama City,Panama,60.57,37.97,49.93,59.96,59.04,39.95,2016
397,Paphos,Cyprus,62.58,11.6,38.57,47.7,67.38,75.75,2016
398,Paris,France,84.34,45.94,66.26,78.45,83.85,100.24,2016
399,Parma,Italy,72.7,24.11,49.82,59.17,84.74,88.43,2016
400,Patras,Greece,51.47,9.37,31.64,38.95,55.92,81.62,2016
401,Pattaya,Thailand,44.03,16.9,31.26,48.06,25.41,26.63,2016
402,Penang,Malaysia,45.86,9.53,28.75,50.78,23.44,77.63,2016
403,"Pensacola, FL",United States,69.3,29.13,50.38,71.68,63.45,117.75,2016
404,Perth,Australia,86.87,42.75,66.09,80.75,93.7,132.36,2016
405,Perugia,Italy,107.95,19.09,66.11,93.23,99.18,72.88,2016
406,"Philadelphia, PA",United States,82.94,50.64,67.73,84.09,77.52,114.4,2016
407,Phnom Penh,Cambodia,49.38,21.65,36.32,52.83,22.51,21.55,2016
